#stripid,cmsswid,FED,CCU,VFE,logicid
65872,872419143,605,7,5,1216050705
65928,872418631,605,7,3,1216050703
65992,872418373,605,14,5,1216051405
66000,872418628,605,13,1,1216051301
66056,872418242,605,14,4,1216051404
66120,872419270,605,12,3,1216051203
66128,872419271,604,32,1,1216043201
66184,872418886,605,13,4,1216051304
66192,872419267,605,12,1,1216051201
66248,872418882,605,13,3,1216051303
66256,872419010,605,13,5,1216051305
66312,872418626,605,13,2,1216051302
66320,872418625,605,20,3,1216052003
66376,872419778,605,12,5,1216051205
66384,872419523,605,12,4,1216051204
66440,872419266,605,12,2,1216051202
66504,872419265,605,19,2,1216051902
66568,872419007,605,20,5,1216052005
66576,872419262,605,19,1,1216051901
66632,872420033,605,18,3,1216051803
66640,872419906,604,33,2,1216043302
66696,872419648,605,19,5,1216051905
66704,872419903,605,18,1,1216051801
66760,872419519,605,19,4,1216051904
66824,872419261,605,19,3,1216051903
66952,872420158,605,18,4,1216051804
66960,872420413,605,18,5,1216051805
67080,872419901,605,18,2,1216051802
67088,872419899,605,26,2,1216052602
67208,872420538,605,25,5,1216052505
67336,872420153,605,26,3,1216052603
67344,872420281,605,26,5,1216052605
73800,872417730,605,15,5,1216051505
73808,872417986,605,14,1,1216051401
73864,872417599,605,22,3,1216052203
73872,872417727,605,22,5,1216052205
73928,872417341,605,22,2,1216052202
73936,872417340,605,30,3,1216053003
73944,872417597,605,22,4,1216052204
73992,872417338,605,30,1,1216053001
74000,872417593,605,30,4,1216053004
74056,872417985,605,21,2,1216052102
74064,872418367,605,21,4,1216052104
74120,872417981,605,21,1,1216052101
74128,872418109,605,21,3,1216052103
74184,872417979,605,29,2,1216052902
74248,872417720,605,30,5,1216053005
74256,872417976,605,29,1,1216052901
74312,872418623,605,20,1,1216052001
74376,872418365,605,21,5,1216052105
74384,872418621,605,20,2,1216052002
74440,872418234,605,29,3,1216052903
74448,872418362,605,29,5,1216052905
74504,872418232,605,29,4,1216052904
74568,872418878,605,20,4,1216052004
74632,872418620,605,28,2,1216052802
74640,872419003,605,28,5,1216052805
74696,872418617,605,28,1,1216052801
74704,872418873,605,28,3,1216052803
74760,872418616,605,28,4,1216052804
74768,872418615,606,4,3,1216060403
74824,872419260,605,27,3,1216052703
74888,872419258,605,27,1,1216052701
74952,872419256,605,27,2,1216052702
75016,872419254,606,3,1,1216060301
75144,872419513,605,27,4,1216052704
75152,872419768,605,27,5,1216052705
75160,872419896,605,26,1,1216052601
75272,872419638,606,3,5,1216060305
75400,872420024,605,26,4,1216052604
75528,872419894,605,32,2,1216053202
75536,872420149,605,32,4,1216053204
81992,872417336,605,30,2,1216053002
82000,872417334,606,6,2,1216060602
82056,872417075,606,7,5,1216060705
82064,872417331,606,6,1,1216060601
82120,872417074,606,15,5,1216061505
82128,872417328,606,14,1,1216061401
82184,872417326,606,14,2,1216061402
82192,872417324,606,21,1,1216062101
82248,872417974,606,5,2,1216060502
82256,872417590,606,6,4,1216060604
82312,872417461,606,6,3,1216060603
82320,872417715,606,6,5,1216060605
82328,872417971,606,5,1,1216060501
82376,872417456,606,14,3,1216061403
82384,872417712,606,14,5,1216061405
82392,872417968,606,13,1,1216061301
82440,872417583,606,14,4,1216061404
82448,872417966,606,13,2,1216061302
82504,872418229,606,5,3,1216060503
82512,872418357,606,5,5,1216060505
82568,872418227,606,5,4,1216060504
82632,872418225,606,13,4,1216061304
82696,872418222,606,13,3,1216061303
82704,872418350,606,13,5,1216061305
82760,872418613,606,4,1,1216060401
82824,872418611,606,4,2,1216060402
82888,872418609,606,12,1,1216061201
82952,872418607,606,12,2,1216061202
83016,872418997,606,4,5,1216060405
83024,872419253,606,3,2,1216060302
83080,872418868,606,4,4,1216060404
83088,872419251,606,3,3,1216060303
83144,872418865,606,12,4,1216061204
83152,872419249,606,11,1,1216061101
