#stripid,cmsswid,FED,CCU,VFE
598288,872444218,646,2,2
598296,872443963,646,2,3
598344,872443947,646,24,5
598352,872443566,646,16,2
598360,872443692,646,23,1
598408,872444078,646,17,4
598416,872443950,646,17,5
598424,872443696,646,16,1
598472,872444083,646,9,4
598480,872443955,646,9,5
598488,872443700,646,8,1
598536,872443960,646,2,5
598544,872443704,646,1,1
598552,872443575,646,8,2
598600,872443437,646,23,3
598608,872443310,646,16,4
598616,872443307,646,23,5
598624,872443052,646,22,1
598664,872443442,646,16,3
598672,872443312,646,16,5
598680,872443182,646,15,1
598728,872443445,646,8,3
598736,872443315,646,8,5
598744,872443187,646,7,1
598792,872443450,646,1,3
598800,872443318,646,8,4
598808,872443320,646,1,5
598816,872443064,647,31,1
598856,872442670,646,15,4
598864,872442669,646,22,4
598920,872442930,646,15,2
598928,872442800,646,15,3
598984,872442934,646,7,2
598992,872442804,646,7,3
599048,872442679,646,7,4
599056,872442680,647,31,4
606280,872443964,646,2,4
606288,872443965,647,25,4
606344,872443968,647,25,3
606408,872443717,647,17,1
606472,872443847,647,11,1
606480,872443719,647,11,2
606488,872443339,647,11,3
606536,872443581,647,24,2
606544,872443580,646,1,2
606600,872443458,647,17,2
606608,872443712,647,24,1
606616,872443456,647,24,3
606664,872443588,647,17,3
606672,872443459,647,17,4
606680,872443330,647,17,5
606728,872443464,647,11,4
606736,872443335,647,11,5
606744,872443079,647,10,1
606792,872443325,647,24,4
606800,872443323,646,1,4
606808,872443066,647,31,2
606856,872443327,647,24,5
606864,872443197,647,23,1
606872,872443069,647,23,2
606920,872443076,647,16,1
606928,872442946,647,16,3
606984,872442949,647,16,2
606992,872442695,647,10,4
607000,872442693,647,16,4
607048,872442811,647,31,3
607056,872442681,647,31,5
607112,872442815,647,23,3
607120,872442685,647,23,5
607176,872442688,647,23,4
607184,872442690,647,16,5
607192,872442432,647,22,1
607240,872442562,647,15,1
607248,872442309,647,15,2
607256,872442179,647,15,3
614472,872443340,647,25,1
614536,872443342,647,25,2
614544,872442960,647,6,1
614600,872442706,647,3,3
614664,872442198,647,3,1
614728,872442956,647,6,2
614736,872443081,647,10,2
614744,872442826,647,10,3
614792,872442828,647,6,4
614800,872442700,647,6,5
614808,872442446,647,5,1
614816,872442957,647,6,3
614856,872442705,647,3,4
614864,872442577,647,2,1
614872,872442192,647,5,3
614880,872442322,647,2,2
614888,872442065,647,2,4
614920,872442197,647,2,3
614928,872442070,647,3,2
614936,872442067,647,2,5
614944,872441811,647,1,1
614984,872442696,647,10,5
614992,872442442,647,9,1
615000,872442312,647,9,2
615048,872442316,647,5,2
615056,872442187,647,9,3
615112,872442188,647,5,4
615120,872442060,647,5,5
615128,872441806,647,4,1
615176,872441682,647,1,2
615184,872441552,647,4,3
615192,872441425,647,1,4
615240,872442054,647,15,4
615248,872442055,647,9,4
615304,872442057,647,9,5
615312,872441801,647,8,1
615368,872441676,647,4,2
615376,872441547,647,8,3
615432,872441548,647,4,4
615440,872441420,647,4,5
615448,872441166,648,29,1
622664,872441691,648,30,3
622672,872441690,648,23,1
622728,872441435,648,30,4
