#stripid,cmsswid,FED,TT,VFE
312280,838870047,611,15,3
312288,838870559,611,15,4
312296,838871071,611,15,5
312328,838869028,611,16,1
312336,838869540,611,16,2
312344,838870052,611,16,3
312352,838870564,611,16,4
312360,838871076,611,16,5
312392,838871573,611,17,1
312400,838872085,611,17,2
312408,838872597,611,17,3
312416,838873109,611,17,4
312424,838873621,611,17,5
312456,838871578,611,18,1
312464,838872090,611,18,2
312472,838872602,611,18,3
312480,838873114,611,18,4
312488,838873626,611,18,5
312520,838871583,611,19,1
312528,838872095,611,19,2
312536,838872607,611,19,3
312544,838873119,611,19,4
312552,838873631,611,19,5
312584,838871588,611,20,1
312592,838872100,611,20,2
312600,838872612,611,20,3
312608,838873124,611,20,4
312616,838873636,611,20,5
312648,838876181,611,21,1
312656,838875669,611,21,2
312664,838875157,611,21,3
312672,838874645,611,21,4
312680,838874133,611,21,5
312712,838876186,611,22,1
312720,838875674,611,22,2
312728,838875162,611,22,3
312736,838874650,611,22,4
312744,838874138,611,22,5
312776,838876191,611,23,1
312784,838875679,611,23,2
312792,838875167,611,23,3
312800,838874655,611,23,4
312808,838874143,611,23,5
312840,838876196,611,24,1
312848,838875684,611,24,2
312856,838875172,611,24,3
312864,838874660,611,24,4
312872,838874148,611,24,5
312904,838878741,611,25,1
312912,838878229,611,25,2
312920,838877717,611,25,3
312928,838877205,611,25,4
312936,838876693,611,25,5
312968,838878746,611,26,1
312976,838878234,611,26,2
312984,838877722,611,26,3
312992,838877210,611,26,4
313000,838876698,611,26,5
313032,838878751,611,27,1
313040,838878239,611,27,2
313048,838877727,611,27,3
313056,838877215,611,27,4
313064,838876703,611,27,5
313096,838878756,611,28,1
313104,838878244,611,28,2
313112,838877732,611,28,3
313120,838877220,611,28,4
313128,838876708,611,28,5
313160,838879253,611,29,1
313168,838879765,611,29,2
313176,838880277,611,29,3
313184,838880789,611,29,4
313192,838881301,611,29,5
313224,838879258,611,30,1
313232,838879770,611,30,2
313240,838880282,611,30,3
313248,838880794,611,30,4
313256,838881306,611,30,5
313288,838879263,611,31,1
313296,838879775,611,31,2
313304,838880287,611,31,3
313312,838880799,611,31,4
313320,838881311,611,31,5
313352,838879268,611,32,1
313360,838879780,611,32,2
313368,838880292,611,32,3
313376,838880804,611,32,4
313384,838881316,611,32,5
313416,838881813,611,33,1
313424,838882325,611,33,2
313432,838882837,611,33,3
313440,838883349,611,33,4
313448,838883861,611,33,5
313480,838881818,611,34,1
313488,838882330,611,34,2
313496,838882842,611,34,3
313504,838883354,611,34,4
313512,838883866,611,34,5
313544,838881823,611,35,1
313552,838882335,611,35,2
313560,838882847,611,35,3
313568,838883359,611,35,4
313576,838883871,611,35,5
313608,838881828,611,36,1
313616,838882340,611,36,2
313624,838882852,611,36,3
313632,838883364,611,36,4
313640,838883876,611,36,5
313672,838886421,611,37,1
313680,838885909,611,37,2
313688,838885397,611,37,3
313696,838884885,611,37,4
313704,838884373,611,37,5
313736,838886426,611,38,1
313744,838885914,611,38,2
313752,838885402,611,38,3
313760,838884890,611,38,4
313768,838884378,611,38,5
313800,838886431,611,39,1
313808,838885919,611,39,2
313816,838885407,611,39,3
313824,838884895,611,39,4
313832,838884383,611,39,5
313864,838886436,611,40,1
313872,838885924,611,40,2
313880,838885412,611,40,3
313888,838884900,611,40,4
313896,838884388,611,40,5
313928,838888981,611,41,1
313936,838888469,611,41,2
313944,838887957,611,41,3
313952,838887445,611,41,4
313960,838886933,611,41,5
313992,838888986,611,42,1
314000,838888474,611,42,2
314008,838887962,611,42,3
314016,838887450,611,42,4
314024,838886938,611,42,5
314056,838888991,611,43,1
314064,838888479,611,43,2
314072,838887967,611,43,3
314080,838887455,611,43,4
314088,838886943,611,43,5
314120,838888996,611,44,1
314128,838888484,611,44,2
314136,838887972,611,44,3
314144,838887460,611,44,4
314152,838886948,611,44,5
314184,838889493,611,45,1
314192,838890005,611,45,2
314200,838890517,611,45,3
314208,838891029,611,45,4
314216,838891541,611,45,5
314248,838889498,611,46,1
314256,838890010,611,46,2
314264,838890522,611,46,3
314272,838891034,611,46,4
314280,838891546,611,46,5
314312,838889503,611,47,1
314320,838890015,611,47,2
314328,838890527,611,47,3
314336,838891039,611,47,4
314344,838891551,611,47,5
314376,838889508,611,48,1
314384,838890020,611,48,2
314392,838890532,611,48,3
314400,838891044,611,48,4
314408,838891556,611,48,5
314440,838892053,611,49,1
314448,838892565,611,49,2
314456,838893077,611,49,3
314464,838893589,611,49,4
314472,838894101,611,49,5
314504,838892058,611,50,1
314512,838892570,611,50,2
314520,838893082,611,50,3
314528,838893594,611,50,4
314536,838894106,611,50,5
314568,838892063,611,51,1
314576,838892575,611,51,2
314584,838893087,611,51,3
314592,838893599,611,51,4
314600,838894111,611,51,5
314632,838892068,611,52,1
314640,838892580,611,52,2
314648,838893092,611,52,3
314656,838893604,611,52,4
314664,838894116,611,52,5
314696,838896661,611,53,1
314704,838896149,611,53,2
314712,838895637,611,53,3
314720,838895125,611,53,4
314728,838894613,611,53,5
314760,838896666,611,54,1
314768,838896154,611,54,2
314776,838895642,611,54,3
314784,838895130,611,54,4
314792,838894618,611,54,5
314824,838896671,611,55,1
314832,838896159,611,55,2
314840,838895647,611,55,3
314848,838895135,611,55,4
314856,838894623,611,55,5
314888,838896676,611,56,1
314896,838896164,611,56,2
314904,838895652,611,56,3
314912,838895140,611,56,4
314920,838894628,611,56,5
314952,838899221,611,57,1
314960,838898709,611,57,2
314968,838898197,611,57,3
314976,838897685,611,57,4
314984,838897173,611,57,5
315016,838899226,611,58,1
315024,838898714,611,58,2
315032,838898202,611,58,3
315040,838897690,611,58,4
315048,838897178,611,58,5
315080,838899231,611,59,1
315088,838898719,611,59,2
315096,838898207,611,59,3
315104,838897695,611,59,4
315112,838897183,611,59,5
315144,838899236,611,60,1
315152,838898724,611,60,2
315160,838898212,611,60,3
315168,838897700,611,60,4
315176,838897188,611,60,5
315208,838899733,611,61,1
315216,838900245,611,61,2
315224,838900757,611,61,3
315232,838901269,611,61,4
315240,838901781,611,61,5
315272,838899738,611,62,1
315280,838900250,611,62,2
315288,838900762,611,62,3
315296,838901274,611,62,4
315304,838901786,611,62,5
315336,838899743,611,63,1
315344,838900255,611,63,2
315352,838900767,611,63,3
315360,838901279,611,63,4
315368,838901791,611,63,5
315400,838899748,611,64,1
315408,838900260,611,64,2
315416,838900772,611,64,3
315424,838901284,611,64,4
315432,838901796,611,64,5
315464,838902293,611,65,1
315472,838902805,611,65,2
315480,838903317,611,65,3
315488,838903829,611,65,4
315496,838904341,611,65,5
315528,838902298,611,66,1
315536,838902810,611,66,2
315544,838903322,611,66,3
315552,838903834,611,66,4
315560,838904346,611,66,5
315592,838902303,611,67,1
315600,838902815,611,67,2
315608,838903327,611,67,3
315616,838903839,611,67,4
315624,838904351,611,67,5
315656,838902308,611,68,1
315664,838902820,611,68,2
315672,838903332,611,68,3
315680,838903844,611,68,4
315688,838904356,611,68,5
319560,838863401,612,1,1
319568,838862889,612,1,2
319576,838862377,612,1,3
319584,838861865,612,1,4
319592,838861353,612,1,5
319624,838863406,612,2,1
319632,838862894,612,2,2
319640,838862382,612,2,3
319648,838861870,612,2,4
319656,838861358,612,2,5
319688,838863411,612,3,1
319696,838862899,612,3,2
319704,838862387,612,3,3
319712,838861875,612,3,4
319720,838861363,612,3,5
319752,838863416,612,4,1
319760,838862904,612,4,2
319768,838862392,612,4,3
319776,838861880,612,4,4
319784,838861368,612,4,5
319816,838865961,612,5,1
319824,838865449,612,5,2
319832,838864937,612,5,3
319840,838864425,612,5,4
319848,838863913,612,5,5
319880,838865966,612,6,1
319888,838865454,612,6,2
319896,838864942,612,6,3
319904,838864430,612,6,4
319912,838863918,612,6,5
320008,838865976,612,8,1
320016,838865464,612,8,2
320024,838864952,612,8,3
320032,838864440,612,8,4
320040,838863928,612,8,5
320072,838868521,612,9,1
320080,838868009,612,9,2
320088,838867497,612,9,3
320096,838866985,612,9,4
320104,838866473,612,9,5
320136,838868526,612,10,1
320144,838868014,612,10,2
320152,838867502,612,10,3
320160,838866990,612,10,4
320168,838866478,612,10,5
320200,838868531,612,11,1
320208,838868019,612,11,2
320216,838867507,612,11,3
320224,838866995,612,11,4
320232,838866483,612,11,5
320264,838868536,612,12,1
320272,838868024,612,12,2
320280,838867512,612,12,3
320288,838867000,612,12,4
320296,838866488,612,12,5
320328,838869033,612,13,1
320336,838869545,612,13,2
320344,838870057,612,13,3
320352,838870569,612,13,4
320360,838871081,612,13,5
320392,838869038,612,14,1
320400,838869550,612,14,2
320408,838870062,612,14,3
320416,838870574,612,14,4
